2022 Retail Power Marketers Sales- Residential,,,,,,
(Data from form EIA-861 schedule 4B),,,,,,
Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Astral Energy LLC,MA,Retail Power Marketer,13,120,13.1,10.92
"CleanChoice Energy, Inc.",MA,Retail Power Marketer,"34,703","200,111","51,328.7",25.65
Clearview Electric Inc.,MA,Retail Power Marketer,"10,715","89,080","17,578.6",19.73
"Constellation NewEnergy, Inc",MA,Retail Power Marketer,"453,240","3,052,519","337,656.9",11.06
Direct Energy Services,MA,Retail Power Marketer,"243,537","1,984,141","236,839.2",11.94
Discount Power Inc - (CT),MA,Retail Power Marketer,"6,785","41,550","9,115.6",21.94
"Dynegy Energy Services, LLC",MA,Retail Power Marketer,"165,707","1,277,042","132,511.8",10.38
"ENGIE Retail, LLC",MA,Retail Power Marketer,"3,494","26,075","5,144.3",19.73
"Eligo Energy, LLC",MA,Retail Power Marketer,"7,584","47,605","10,200.9",21.43
Energy Plus Holdings LLC,MA,Retail Power Marketer,"1,571","10,495","1,827.0",17.41
"Energy Services Providers, Inc",MA,Retail Power Marketer,"5,045","30,364","5,369.0",17.68
Energywell LLC,MA,Retail Power Marketer,"3,193","3,611",626.8,17.36
Everyday Energy LLC,MA,Retail Power Marketer,117,663,100.3,15.13
"First Point Power, LLC",MA,Retail Power Marketer,"43,038","373,668","43,397.8",11.61
Green Mountain Energy Company,MA,Retail Power Marketer,"1,797","11,094","2,013.8",18.15
"Inspire Energy Holdings, LLC",MA,Retail Power Marketer,"57,931","411,908","60,803.4",14.76
Just Energy,MA,Retail Power Marketer,"5,122","28,143","4,775.3",16.97
Liberty Power Corp.,MA,Retail Power Marketer,"1,047",992,199.3,20.09
Major Energy Electric Services,MA,Retail Power Marketer,"3,213","19,553","4,452.0",22.77
"Mega Energy of New England, LLC",MA,Retail Power Marketer,"1,476","10,296","2,468.0",23.97
"MidAmerican Energy Services, LLC",MA,Retail Power Marketer,7,48,5.4,11.25
"National Gas & Electric, LLC",MA,Retail Power Marketer,"5,779","35,442","7,683.3",21.68
"NextEra Energy Services, LLC",MA,Retail Power Marketer,"113,978","1,112,685","132,047.0",11.87
"Nordic Energy Services, LLC",MA,Retail Power Marketer,"4,547","21,847","4,513.0",20.66
"Palmco Power MA, LLC",MA,Retail Power Marketer,"6,591","36,862","9,665.7",26.22
"Provider Power MASS, LLC",MA,Retail Power Marketer,"15,935","117,359","20,597.0",17.55
Public Power LLC (CT),MA,Retail Power Marketer,684,"5,505",789.0,14.33
Reliant Energy Northeast LLC,MA,Retail Power Marketer,"38,687","267,755","49,859.0",18.62
"Renaissance Power & Gas, Inc.",MA,Retail Power Marketer,"1,273","6,880","1,371.0",19.93
"Residents Energy, LLC",MA,Retail Power Marketer,"34,584","225,289","35,328.2",15.68
"SFE Energy Massachusetts, Inc.",MA,Retail Power Marketer,"9,852","59,636","11,409.0",19.13
"SmartEnergy Holdings, LLC",MA,Retail Power Marketer,"13,971","75,660","15,840.8",20.94
"Starion Energy, Inc.",MA,Retail Power Marketer,69,98,11.1,11.33
"Summer Energy Northeast, LLC",MA,Retail Power Marketer,563,"3,877",845.0,21.80
"Sunwave Gas & Power Connecticut, Inc.",MA,Retail Power Marketer,286,611,117.6,19.25
Titan Gas LLC,MA,Retail Power Marketer,"7,685","75,450","9,953.3",13.19
Town Square Energy,MA,Retail Power Marketer,"8,497","63,034","11,130.3",17.66
Verde Energy USA,MA,Retail Power Marketer,"7,052","44,506","11,339.0",25.48
Viridian Energy LLC,MA,Retail Power Marketer,"11,427","82,920","13,576.4",16.37
"XOOM Energy Massachusetts, LLC",MA,Retail Power Marketer,"3,891","27,107","4,256.0",15.70
AEP Energy,MD,Retail Power Marketer,"1,855","27,236","2,464.0",9.05
AP Holdings LLC,MD,Retail Power Marketer,302,"3,097",460.9,14.88
