Entity,State,Ownership,Customers (Count),Sales (Megawatthours),"Revenues (ThousandsDollars)","Average Price(cents/kWh)"
Viridian Energy Ohio LLC,OH,Retail Power Marketer,"5,829","70,655","9,336.8",13.21
Viridian Energy PA LLC,OH,Retail Power Marketer,43,360,48.5,13.47
"Vista Energy Marketing, L.P.",OH,Retail Power Marketer,"2,298","13,867","2,112.0",15.23
"XOOM Energy Ohio, LLC",OH,Retail Power Marketer,"9,767","95,188","9,350.0",9.82
AEP Energy,PA,Retail Power Marketer,"48,972","563,202","57,109.5",10.14
AP Holdings LLC,PA,Retail Power Marketer,"15,377","143,877","15,584.0",10.83
"Agway Energy Services, LLC",PA,Retail Power Marketer,"1,057","9,195","1,091.1",11.87
"All American Power and Gas, LLC",PA,Retail Power Marketer,634,"4,345","1,321.0",30.40
"Alpha Gas and Electric, LLC",PA,Retail Power Marketer,780,"6,061",910.2,15.02
"Ambit Energy Holdings, LLC",PA,Retail Power Marketer,"23,367","259,475","33,757.9",13.01
American Power & Gas,PA,Retail Power Marketer,"21,246","238,282","37,290.0",15.65
Anthracite Power & Light,PA,Retail Power Marketer,689,"8,064",876.4,10.87
Astral Energy LLC,PA,Retail Power Marketer,264,"1,758",320.2,18.21
Atlantic Energy LLC,PA,Retail Power Marketer,"1,360","8,373","1,502.1",17.94
"Choice Energy, LLC",PA,Retail Power Marketer,"5,912","47,074","6,513.2",13.84
"CleanChoice Energy, Inc.",PA,Retail Power Marketer,"54,481","409,543","61,328.8",14.97
Clearview Electric Inc.,PA,Retail Power Marketer,"13,122","148,136","21,366.9",14.42
Click Energy LLC,PA,Retail Power Marketer,503,"5,808","1,057.8",18.21
"Constellation NewEnergy, Inc",PA,Retail Power Marketer,"54,709","591,059","64,030.0",10.83
Direct Energy Services,PA,Retail Power Marketer,"71,073","812,903","85,230.3",10.48
Discount Power Inc - (CT),PA,Retail Power Marketer,"3,773","28,200","5,644.6",20.02
"Dynegy Energy Services, LLC",PA,Retail Power Marketer,"20,609","238,098","25,356.3",10.65
ENGIE Power & Gas LLC,PA,Retail Power Marketer,209,"1,557",276.9,17.78
"EcoPlus Power, LLC",PA,Retail Power Marketer,"2,532","21,247","2,318.8",10.91
"Eligo Energy, LLC",PA,Retail Power Marketer,"8,412","75,727","10,787.0",14.24
"Energy Coop of New York, Inc",PA,Retail Power Marketer,296,"3,079",411.4,13.36
Energy Harbor Corp.,PA,Retail Power Marketer,"120,810","1,454,397","163,632.7",11.25
Energy Plus Holdings LLC,PA,Retail Power Marketer,"20,602","219,604","28,609.1",13.03
"Energy Services Providers, Inc",PA,Retail Power Marketer,"16,039","110,399","16,613.3",15.05
Energywell LLC,PA,Retail Power Marketer,"5,468","50,806","7,199.5",14.17
Everyday Energy LLC,PA,Retail Power Marketer,614,"6,232",993.0,15.93
"First Point Power, LLC",PA,Retail Power Marketer,12,111,22.3,20.09
"Frontier Utilities, LLC",PA,Retail Power Marketer,"23,637","281,032","31,128.6",11.08
"Great American Power, LLC",PA,Retail Power Marketer,"7,380","80,239","9,025.0",11.25
Green Mountain Energy Company,PA,Retail Power Marketer,"34,926","325,807","43,997.9",13.50
Greenlight Energy Inc.,PA,Retail Power Marketer,"1,516","10,976","1,730.0",15.76
"IDT Energy, Inc.",PA,Retail Power Marketer,"8,492","66,706","12,045.1",18.06
"Inspire Energy Holdings, LLC",PA,Retail Power Marketer,"106,655","1,032,629","132,837.0",12.86
"Interstate Gas Supply, Inc.",PA,Retail Power Marketer,"46,351","435,688","62,966.0",14.45
Josco Energy USA LLC,PA,Retail Power Marketer,25,28,3.8,13.57
Just Energy,PA,Retail Power Marketer,"18,608","211,590","25,181.4",11.90
Just Energy Solutions Inc.,PA,Retail Power Marketer,"5,450","43,525","5,218.8",11.99
MPower Energy NJ LLC,PA,Retail Power Marketer,"7,180","46,342","8,135.8",17.56
Marathon Power LLC,PA,Retail Power Marketer,157,"2,163",214.1,9.90
Median Energy PA LLC,PA,Retail Power Marketer,"1,298","9,575","1,682.6",17.57
"MidAmerican Energy Services, LLC",PA,Retail Power Marketer,326,"2,780",218.6,7.86
"NTHERM, LLC",PA,Retail Power Marketer,"6,247","57,873","9,567.8",16.53
"National Gas & Electric, LLC",PA,Retail Power Marketer,"4,577","37,767","5,542.3",14.67
New Wave Energy Corporation,PA,Retail Power Marketer,"2,870","35,381","3,019.0",8.53
"NextEra Energy Services, LLC",PA,Retail Power Marketer,"19,241","225,491","28,485.1",12.63
"Nordic Energy Services, LLC",PA,Retail Power Marketer,"2,312","13,411","1,924.7",14.35
"North American Power and Gas, LLC",PA,Retail Power Marketer,"9,068","89,077","12,106.0",13.59
"Palmco Power PA, LLC",PA,Retail Power Marketer,"4,419","27,858","5,689.0",20.42
Park Power LLC,PA,Retail Power Marketer,"6,545","55,030","10,289.5",18.70
